Industry,State,Country,Stage,Account Name,Amount,CloseDate (Epoch days),CloseDate (Epoch seconds),AccountType,CloseDate,Name
Energy,Oklahoma,United States,Closed Won,Bennett519 Inc,95002,18459,1594857600,Customer,7/16/2020,Opportunity for Wilkins38
Media,South Carolina,United States,Closed Lost,Rogers668 Inc,17234,18294,1580601600,Partner,2/2/2020,Opportunity for Stevens152
Healthcare,Georgia,United States,Closed Lost,Stevenson954 Inc,13629,18004,1555545600,Customer,4/18/2019,Opportunity for Vega154
Manufacturing,Arizona,United States,Negotiation/Review,Rios384 Inc,54597,18124,1565913600,Partner,8/16/2019,Opportunity for Moss156
Manufacturing,Texas,,Closed Won,Barnett543 Inc,7572,18939,1636329600,Customer,11/8/2021,Opportunity for Mendoza161
Education,Texas,United States,Prospecting,Maldonado464 Inc,85038,18631,1609718400,Customer,1/4/2021,Opportunity for Todd162
Telecommunications,North Carolina,United States,Closed Won,Silva224 Inc,58871,19199,1658793600,Partner,7/26/2022,Opportunity for Snyder164
Biotechnology,California,United States,Closed Won,Flores188 Inc,98294,18361,1586390400,Partner,4/9/2020,Opportunity for Cunningham175
Technology,,United States,Proposal/Price Quote,Allen182 Inc,74019,18082,1562284800,Partner,7/5/2019,Opportunity for Bush283
Banking,Ohio,United States,Closed Won,Graves33 Inc,20921,19022,1643500800,Partner,1/30/2022,Opportunity for Pearson288
Transportation,South Carolina,United States,Negotiation/Review,Stone555 Inc,17905,18330,1583712000,Partner,3/9/2020,Opportunity for Higgins293
Energy,Colorado,United States,Perception Analysis,Jefferson859 Inc,61582,18465,1595376000,Partner,7/22/2020,Opportunity for Francis298
Banking,Florida,,Value Proposition,Graves925 Inc,19250,19089,1649289600,Customer,4/7/2022,Opportunity for McBride299
Electronics,Pennsylvania,,Closed Won,Stone533 Inc,25949,18842,1627948800,Partner,8/3/2021,Opportunity for Miller300
Telecommunications,Iowa,United States,Perception Analysis,Thompson622 Inc,938,18817,1625788800,Partner,7/9/2021,Opportunity for Cross303
Engineering,Florida,United States,Closed Lost,Stevenson884 Inc,51816,18887,1631836800,Partner,9/17/2021,Opportunity for Pierce304
Electronics,Kansas,United States,Perception Analysis,Harris13 Inc,39885,18981,1639958400,Partner,12/20/2021,Opportunity for Figueroa377
Biotechnology,Mississippi,United States,Closed Won,Rodriguez768 Inc,61662,18470,1595808000,Partner,7/27/2020,Opportunity for Collins378
Media,Florida,United States,Closed Won,George280 Inc,68848,18037,1558396800,Partner,5/21/2019,Opportunity for Burke383
Apparel,Minnesota,United States,Closed Won,Medina787 Inc,91048,19091,1649462400,Partner,4/9/2022,Opportunity for May386
Engineering,Ohio,United States,Needs Analysis,Phillips722 Inc,27994,18575,1604880000,Customer,11/9/2020,Opportunity for Hart387
Media,New York,United States,Closed Won,Green672 Inc,61796,17951,1550966400,Customer,2/24/2019,Opportunity for Perry395
Communications,Florida,United States,Prospecting,Thornton799 Inc,12602,19140,1653696000,Customer,5/28/2022,Opportunity for Nunez399
Telecommunications,Florida,United States,Closed Won,Todd690 Inc,90927,18312,1582156800,Partner,2/20/2020,Opportunity for Goodwin400
Communications,,United States,Closed Lost,Newman145 Inc,91439,19014,1642809600,Partner,1/22/2022,Opportunity for Shaw178
Manufacturing,,United States,Value Proposition,Brock75 Inc,72152,18052,1559692800,Partner,6/5/2019,Opportunity for Lambert182
Banking,California,United States,Needs Analysis,Christensen892 Inc,97536,18242,1576108800,Partner,12/12/2019,Opportunity for Blair183
Insurance,Michigan,United States,Qualification,Thomas631 Inc,85738,18934,1635897600,Partner,11/3/2021,Opportunity for Barber186
Communications,Texas,United States,Closed Lost,Crawford184 Inc,25011,18067,1560988800,Partner,6/20/2019,Opportunity for Owens189
Electronics,Florida,United States,Closed Lost,McCarthy162 Inc,75260,18717,1617148800,Partner,3/31/2021,Opportunity for Reid191
Telecommunications,North Carolina,United States,Closed Lost,Hardy12 Inc,42793,17922,1548460800,Customer,1/26/2019,Opportunity for Ellis192
Media,Texas,United States,Perception Analysis,Marsh614 Inc,78596,18338,1584403200,Customer,3/17/2020,Opportunity for Frazier196
Healthcare,Missouri,United States,Closed Won,Torres548 Inc,6057,18233,1575331200,Customer,12/3/2019,Opportunity for Douglas198
Communications,Tennessee,United States,Closed Won,Thompson622 Inc,87347,18308,1581811200,Partner,2/16/2020,Opportunity for Phelps203
Engineering,Maryland,United States,Needs Analysis,Bryan926 Inc,82458,19202,1659052800,Partner,7/29/2022,Opportunity for Phelps205
Finance,South Dakota,United States,Qualification,Crawford536 Inc,74295,18125,1566000000,Partner,8/17/2019,Opportunity for Morton406
Engineering,Minnesota,United States,Closed Won,Arnold813 Inc,92187,18754,1620345600,Partner,5/7/2021,Opportunity for Abbott414
Consulting,Ohio,United States,Closed Lost,Moran300 Inc,99920,18100,1563840000,Partner,7/23/2019,Opportunity for West206
Insurance,District of Columbia,United States,Closed Won,Long31 Inc,28659,19007,1642204800,Partner,1/15/2022,Opportunity for Horton207
Education,Ohio,United States,Closed Won,Nichols662 Inc,98397,18065,1560816000,Partner,6/18/2019,Opportunity for Johnston49
Media,Massachusetts,United States,Closed Won,Porter466 Inc,30216,18703,1615939200,Customer,3/17/2021,Opportunity for Potter50
Communications,California,United States,Closed Won,Keller1 Inc,20650,19244,1662681600,Customer,9/9/2022,Opportunity for Logan51
Retail,Michigan,United States,Closed Won,Pittman113 Inc,12746,18203,1572739200,Customer,11/3/2019,Opportunity for Parker53
Media,Minnesota,United States,Closed Won,Mann440 Inc,1692,18272,1578700800,Partner,1/11/2020,Opportunity for Jordan57
Energy,California,,Closed Lost,McGuire151 Inc,8607,18903,1633219200,Partner,10/3/2021,Opportunity for Moss58
Utilities,Arizona,United States,Perception Analysis,Cannon212 Inc,2305,18307,1581724800,Partner,2/15/2020,Opportunity for Bowen59
Media,,United States,Closed Lost,Cross242 Inc,29487,18459,1594857600,Partner,7/16/2020,Opportunity for Cooper60
Electronics,Arizona,United States,Value Proposition,Kim800 Inc,52452,19204,1659225600,Partner,7/31/2022,Opportunity for Bennett62
Telecommunications,Maryland,United States,Closed Won,Black598 Inc,245,18907,1633564800,Partner,10/7/2021,Opportunity for Black67
Media,Florida,United States,Closed Won,Ellis805 Inc,88797,18678,1613779200,Customer,2/20/2021,Opportunity for Lowe69
Insurance,California,United States,Qualification,Myers320 Inc,87016,19229,1661385600,Partner,8/25/2022,Opportunity for Schwartz75
Apparel,Utah,United States,Closed Lost,Bradley791 Inc,82924,17957,1551484800,Customer,3/2/2019,Opportunity for Morales81
Biotechnology,,United States,Closed Lost,Maldonado464 Inc,68521,18186,1571270400,Partner,10/17/2019,Opportunity for Willis82
Telecommunications,Ohio,United States,Closed Lost,Goodman21 Inc,2107,17935,1549584000,Partner,2/8/2019,Opportunity for Thompson83
Banking,Georgia,United States,Closed Won,Castillo620 Inc,25968,19257,1663804800,Partner,9/22/2022,Opportunity for Saunders86
Media,Georgia,United States,Value Proposition,Floyd832 Inc,59911,18369,1587081600,Customer,4/17/2020,Opportunity for Adams87
Biotechnology,Indiana,United States,Closed Won,Bush454 Inc,44840,18490,1597536000,Partner,8/16/2020,Opportunity for Peters89
Healthcare,Arizona,United States,Closed Lost,Diaz190 Inc,38276,18121,1565654400,Customer,8/13/2019,Opportunity for Becker94
Healthcare,New York,United States,Closed Won,Payne750 Inc,97166,19197,1658620800,Partner,7/24/2022,Opportunity for Graham101
Biotechnology,California,United States,Closed Lost,Edwards434 Inc,24486,19290,1666656000,Customer,10/25/2022,Opportunity for Hughes209
Utilities,California,United States,Closed Won,McCarthy602 Inc,42236,18430,1592352000,Customer,6/17/2020,Opportunity for Aguilar210
Insurance,Massachusetts,United States,Closed Won,Walton636 Inc,49170,17912,1547596800,Customer,1/16/2019,Opportunity for Lopez212
Education,North Carolina,United States,Closed Won,Bass661 Inc,22694,18983,1640131200,Customer,12/22/2021,Opportunity for Guzman213
Apparel,Texas,United States,Closed Won,Becker755 Inc,37737,18139,1567209600,Customer,8/31/2019,Opportunity for Cain216
Communications,Louisiana,United States,Closed Won,Banks379 Inc,39396,18412,1590796800,Customer,5/30/2020,Opportunity for Johnson217
Banking,Hawaii,United States,Closed Won,Stone207 Inc,44909,17907,1547164800,Customer,1/11/2019,Opportunity for Santos218
Biotechnology,Alabama,United States,Closed Won,Lee192 Inc,48274,18138,1567123200,Partner,8/30/2019,Opportunity for Becker221
Finance,,,Closed Won,Cox450 Inc,77213,18236,1575590400,Partner,12/6/2019,Opportunity for McCoy227
Energy,South Carolina,United States,Closed Lost,Collins451 Inc,13445,18708,1616371200,Partner,3/22/2021,Opportunity for Lee231
Insurance,North Carolina,United States,Needs Analysis,Gordon406 Inc,44893,18172,1570060800,Partner,10/3/2019,Opportunity for Burns308
Finance,Alabama,United States,Closed Won,Fleming816 Inc,70282,17907,1547164800,Partner,1/11/2019,Opportunity for Smith309
Manufacturing,California,United States,Needs Analysis,Ramirez137 Inc,17635,18059,1560297600,Partner,6/12/2019,Opportunity for Pope310
Energy,Texas,United States,Closed Lost,Rodriguez768 Inc,90994,19116,1651622400,Partner,5/4/2022,Opportunity for Tyler313
Media,California,United States,Qualification,Hart717 Inc,90472,18734,1618617600,Partner,4/17/2021,Opportunity for Olson321
Insurance,Colorado,United States,Closed Lost,Rose673 Inc,61083,18705,1616112000,Partner,3/19/2021,Opportunity for Holland322
Education,Ohio,United States,Closed Won,Daniel415 Inc,93779,18725,1617840000,Customer,4/8/2021,Opportunity for Martin324
Telecommunications,Florida,United States,Closed Won,Nelson829 Inc,31631,18495,1597968000,Partner,8/21/2020,Opportunity for Klein103
Retail,Ohio,United States,Closed Lost,Arnold813 Inc,19943,18929,1635465600,Partner,10/29/2021,Opportunity for Swanson105
Consulting,Pennsylvania,United States,Closed Won,James431 Inc,18237,19328,1669939200,Partner,12/2/2022,Opportunity for Ramirez108
Finance,California,,Closed Won,Glover937 Inc,70685,18497,1598140800,Partner,8/23/2020,Opportunity for Jones110
Apparel,Hawaii,United States,Closed Won,Moreno366 Inc,8957,18734,1618617600,Partner,4/17/2021,Opportunity for Adkins111
Telecommunications,Texas,United States,Closed Won,Ramirez137 Inc,48772,18328,1583539200,Partner,3/7/2020,Opportunity for Lynch113
Energy,Florida,United States,Closed Won,Freeman751 Inc,59213,18459,1594857600,Partner,7/16/2020,Opportunity for Carroll233
Technology,Illinois,United States,Closed Won,Gray676 Inc,47370,18033,1558051200,Partner,5/17/2019,Opportunity for Murphy234
Communications,Iowa,United States,Closed Won,Obrien994 Inc,3091,18469,1595721600,Partner,7/26/2020,Opportunity for Butler235
Apparel,,United States,Closed Won,Bush454 Inc,57813,18792,1623628800,Partner,6/14/2021,Opportunity for Willis238
Healthcare,Tennessee,United States,Closed Lost,Lambert452 Inc,75710,19264,1664409600,Customer,9/29/2022,Opportunity for Padilla247
Agriculture,West Virginia,United States,Closed Won,Myers581 Inc,29280,18221,1574294400,Partner,11/21/2019,Opportunity for Barnett252
Education,Florida,United States,Closed Lost,Davidson606 Inc,25371,17998,1555027200,Partner,4/12/2019,Opportunity for Cooper256
Insurance,Texas,United States,Closed Won,Bush454 Inc,51520,17941,1550102400,Partner,2/14/2019,Opportunity for Campbell329
Healthcare,Ohio,United States,Closed Lost,Reed186 Inc,10748,18990,1640736000,Customer,12/29/2021,Opportunity for Reynolds330
Technology,Delaware,United States,Value Proposition,Pratt392 Inc,16389,18582,1605484800,Partner,11/16/2020,Opportunity for Fletcher332
Technology,Missouri,United States,Qualification,Keller1 Inc,67569,18684,1614297600,Customer,2/26/2021,Opportunity for Shaw336
Retail,Texas,United States,Closed Won,Holloway471 Inc,32942,18468,1595635200,Customer,7/25/2020,Opportunity for Roy337
Communications,New York,United States,Closed Won,Walsh54 Inc,89631,19167,1656028800,Customer,6/24/2022,Opportunity for Brooks342
Transportation,Florida,United States,Closed Lost,Russell560 Inc,39151,18553,1602979200,Partner,10/18/2020,Opportunity for Gomez345
Electronics,Massachusetts,United States,Closed Lost,West49 Inc,40513,19132,1653004800,Partner,5/20/2022,Opportunity for Lamb346
Banking,Virginia,United States,Qualification,Simmons663 Inc,27245,18361,1586390400,Customer,4/9/2020,Opportunity for Christensen684
Engineering,New York,United States,Closed Lost,Marsh836 Inc,47470,18949,1637193600,Customer,11/18/2021,Opportunity for Murray689
Manufacturing,,United States,Closed Lost,Schmidt289 Inc,97564,18398,1589587200,Partner,5/16/2020,Opportunity for Gomez694
Media,Ohio,United States,Closed Lost,Stokes935 Inc,6359,18493,1597795200,Partner,8/19/2020,Opportunity for McKenzie695
Energy,Nebraska,United States,Negotiation/Review,Fletcher429 Inc,33197,18304,1581465600,Partner,2/12/2020,Opportunity for Malone696
Technology,California,United States,Closed Lost,Weaver350 Inc,16980,18003,1555459200,Partner,4/17/2019,Opportunity for Ingram699
Telecommunications,South Carolina,United States,Negotiation/Review,Ellis327 Inc,67531,17916,1547942400,Customer,1/20/2019,Opportunity for Swanson1068
Biotechnology,Texas,,Closed Won,Glover254 Inc,33420,18188,1571443200,Partner,10/19/2019,Opportunity for Ramsey1069
Biotechnology,,United States,Closed Won,Jackson589 Inc,54361,18438,1593043200,Customer,6/25/2020,Opportunity for Graham1073
Education,Nebraska,,Closed Lost,Thomas208 Inc,14936,18986,1640390400,Partner,12/25/2021,Opportunity for Vaughn1076
Engineering,Oregon,United States,Value Proposition,Webb165 Inc,93256,18206,1572998400,Partner,11/6/2019,Opportunity for Weber1078
Banking,Georgia,United States,Closed Won,Johnson960 Inc,31051,18720,1617408000,Partner,4/3/2021,Opportunity for Bowman1081
Consulting,California,United States,Closed Won,Hill331 Inc,1716,19298,1667347200,Customer,11/2/2022,Opportunity for Maxwell1082
Banking,Pennsylvania,United States,Closed Won,Fleming710 Inc,79976,18225,1574640000,Partner,11/25/2019,Opportunity for Soto1087
Agriculture,Minnesota,United States,Needs Analysis,Allison992 Inc,66137,18596,1606694400,Partner,11/30/2020,Opportunity for Alvarez1088
Retail,Kentucky,United States,Closed Lost,Owens588 Inc,24756,19062,1646956800,Customer,3/11/2022,Opportunity for Chandler1451
Utilities,Florida,United States,Prospecting,Ingram644 Inc,54907,17994,1554681600,Partner,4/8/2019,Opportunity for Grant1452
Consulting,Texas,United States,Value Proposition,Fleming762 Inc,27041,18621,1608854400,Partner,12/25/2020,Opportunity for Bates1455
Manufacturing,Delaware,United States,Closed Lost,Harris13 Inc,65912,18139,1567209600,Partner,8/31/2019,Opportunity for Paul1460
Biotechnology,West Virginia,United States,Value Proposition,Graham705 Inc,20661,18717,1617148800,Partner,3/31/2021,Opportunity for Cruz1461
Banking,Pennsylvania,United States,Prospecting,Myers581 Inc,7999,19143,1653955200,Partner,5/31/2022,Opportunity for Jacobs1464
Education,Mississippi,United States,Needs Analysis,Bass271 Inc,29582,18520,1600128000,Partner,9/15/2020,Opportunity for Lee1827
Apparel,Utah,United States,Qualification,Gordon406 Inc,98580,18270,1578528000,Partner,1/9/2020,Opportunity for Cross1834
Finance,,United States,Closed Won,Wagner421 Inc,36804,18832,1627084800,Partner,7/24/2021,Opportunity for McGee1836
Electronics,Nevada,United States,Qualification,Salazar150 Inc,98676,18736,1618790400,Partner,4/19/2021,Opportunity for Ramirez1837
Agriculture,West Virginia,,Closed Won,Arnold813 Inc,42514,18427,1592092800,Partner,6/14/2020,Opportunity for Lawson1843
Consulting,Florida,United States,Value Proposition,Robertson5 Inc,13163,18688,1614643200,Partner,3/2/2021,Opportunity for Medina1844
Apparel,Ohio,United States,Closed Won,Martinez181 Inc,98965,19114,1651449600,Customer,5/2/2022,Opportunity for Gordon1846
Communications,North Carolina,United States,Closed Won,McCarthy602 Inc,52144,18477,1596412800,Partner,8/3/2020,Opportunity for Roberts1847
Insurance,Virginia,United States,Closed Won,Walsh951 Inc,94373,17903,1546819200,Customer,1/7/2019,Opportunity for Chavez1849
Banking,Illinois,United States,Closed Won,Graves33 Inc,48099,17945,1550448000,Customer,2/18/2019,Opportunity for Ramos1851
Transportation,,United States,Prospecting,Bryant456 Inc,9123,18143,1567555200,Partner,9/4/2019,Opportunity for Adams708
Energy,District of Columbia,,Value Proposition,Underwood142 Inc,27371,19064,1647129600,Customer,3/13/2022,Opportunity for Luna711
Engineering,Kansas,United States,Prospecting,Joseph730 Inc,39729,17928,1548979200,Partner,2/1/2019,Opportunity for Morgan713
Engineering,District of Columbia,United States,Closed Won,Hall230 Inc,28617,18504,1598745600,Partner,8/30/2020,Opportunity for Massey714
Banking,Minnesota,United States,Closed Won,Herrera637 Inc,51960,18571,1604534400,Customer,11/5/2020,Opportunity for Quinn715
Agriculture,Pennsylvania,United States,Value Proposition,Norris77 Inc,88161,19062,1646956800,Partner,3/11/2022,Opportunity for Freeman717
Biotechnology,Minnesota,United States,Closed Won,Obrien994 Inc,63275,18022,1557100800,Partner,5/6/2019,Opportunity for Maldonado720
Apparel,Pennsylvania,United States,Closed Won,Evans281 Inc,66552,18937,1636156800,Partner,11/6/2021,Opportunity for Reeves721
Banking,Alabama,United States,Value Proposition,Warner699 Inc,71107,19192,1658188800,Partner,7/19/2022,Opportunity for Joseph722
Manufacturing,South Carolina,United States,Perception Analysis,Mendoza936 Inc,81513,18999,1641513600,Partner,1/7/2022,Opportunity for Silva728
Transportation,Tennessee,United States,Prospecting,West416 Inc,2762,18408,1590451200,Partner,5/26/2020,Opportunity for Simpson729
Engineering,Maryland,United States,Closed Won,Dean902 Inc,25380,19147,1654300800,Partner,6/4/2022,Opportunity for Moss732
Electronics,Utah,United States,Closed Won,McKenzie887 Inc,68354,18813,1625443200,Partner,7/5/2021,Opportunity for Pope1093
Retail,Illinois,United States,Closed Won,Myers320 Inc,95469,18370,1587168000,Partner,4/18/2020,Opportunity for Miles1094
Apparel,Minnesota,United States,Closed Won,Becker488 Inc,87390,18826,1626566400,Customer,7/18/2021,Opportunity for Morton1098
Utilities,Colorado,United States,Closed Lost,Klein591 Inc,45541,18519,1600041600,Partner,9/14/2020,Opportunity for Mills1099
Communications,,United States,Closed Won,Banks379 Inc,91426,18462,1595116800,Partner,7/19/2020,Opportunity for Keller1100
Banking,Virginia,United States,Closed Won,Fowler307 Inc,34261,19117,1651708800,Customer,5/5/2022,Opportunity for Todd1101
Apparel,New York,United States,Closed Won,Armstrong378 Inc,93924,18355,1585872000,Customer,4/3/2020,Opportunity for Montgomery1103
Manufacturing,Pennsylvania,United States,Closed Won,Sharp764 Inc,8296,18097,1563580800,Partner,7/20/2019,Opportunity for Luna1104
Telecommunications,Virginia,United States,Closed Won,Lopez275 Inc,13672,19227,1661212800,Partner,8/23/2022,Opportunity for Myers1105
Finance,Oklahoma,United States,Closed Won,Pittman399 Inc,14289,18763,1621123200,Partner,5/16/2021,Opportunity for Parsons1107
Media,Louisiana,United States,Needs Analysis,Brown495 Inc,34774,18072,1561420800,Partner,6/25/2019,Opportunity for Gardner1110
Technology,Utah,United States,Qualification,Rowe333 Inc,64642,18071,1561334400,Partner,6/24/2019,Opportunity for Harrington1112
Consulting,Georgia,United States,Closed Won,Medina510 Inc,95486,19302,1667692800,Partner,11/6/2022,Opportunity for Rodriquez1114
Telecommunications,Texas,United States,Value Proposition,Cohen950 Inc,30497,18338,1584403200,Partner,3/17/2020,Opportunity for Tyler1115
Communications,Alaska,United States,Closed Won,Butler152 Inc,86427,18071,1561334400,Partner,6/24/2019,Opportunity for West1117
Energy,Oregon,United States,Closed Won,King818 Inc,55879,19014,1642809600,Customer,1/22/2022,Opportunity for Rodriquez1469
Transportation,New York,,Closed Won,Bailey893 Inc,57255,18997,1641340800,Partner,1/5/2022,Opportunity for Martin1471
Energy,Oregon,,Closed Won,Mann440 Inc,50342,18529,1600905600,Partner,9/24/2020,Opportunity for Simpson1472
Energy,Connecticut,United States,Closed Won,Beck370 Inc,56981,18476,1596326400,Partner,8/2/2020,Opportunity for Santos1475
Healthcare,Arizona,,Closed Won,Myers581 Inc,60004,18488,1597363200,Partner,8/14/2020,Opportunity for Harmon1481
Education,Nevada,United States,Closed Won,Fletcher234 Inc,25323,19087,1649116800,Partner,4/5/2022,Opportunity for Reed1483
Media,Florida,United States,Closed Lost,Brady564 Inc,60847,19208,1659571200,Customer,8/4/2022,Opportunity for Wheeler1484
Energy,Washington,United States,Prospecting,Nichols134 Inc,26378,19059,1646697600,Partner,3/8/2022,Opportunity for Klein1486
Healthcare,Texas,United States,Closed Lost,Fleming710 Inc,13212,18082,1562284800,Partner,7/5/2019,Opportunity for Stone1492
Agriculture,Oklahoma,United States,Closed Lost,Hines651 Inc,12175,19354,1672185600,Partner,12/28/2022,Opportunity for Barnes1852
Telecommunications,Kentucky,United States,Closed Won,Cummings220 Inc,48322,18868,1630195200,Partner,8/29/2021,Opportunity for Johnston1857
Agriculture,Nevada,United States,Negotiation/Review,Morales41 Inc,2931,19259,1663977600,Partner,9/24/2022,Opportunity for Smith1859
Biotechnology,Massachusetts,United States,Closed Won,Morris541 Inc,10808,17927,1548892800,Customer,1/31/2019,Opportunity for Thornton1860
Telecommunications,California,United States,Closed Won,Vaughn229 Inc,53909,18896,1632614400,Customer,9/26/2021,Opportunity for Ramsey1863
Biotechnology,Texas,United States,Needs Analysis,Medina110 Inc,6995,18824,1626393600,Customer,7/16/2021,Opportunity for Mathis1864
Biotechnology,California,United States,Closed Won,Shaw160 Inc,60440,18830,1626912000,Partner,7/22/2021,Opportunity for Price1866
Electronics,Connecticut,United States,Closed Won,Carr43 Inc,76810,18561,1603670400,Partner,10/26/2020,Opportunity for Foster1871
Banking,Colorado,United States,Closed Won,Mendez595 Inc,81867,18868,1630195200,Partner,8/29/2021,Opportunity for McDaniel1873
Biotechnology,New York,United States,Proposal/Price Quote,Lynch943 Inc,90276,18866,1630022400,Customer,8/27/2021,Opportunity for Gibbs1874
Education,Florida,United States,Needs Analysis,Moran300 Inc,50633,18386,1588550400,Partner,5/4/2020,Opportunity for Medina1876
Insurance,Tennessee,United States,Closed Won,Graham11 Inc,14707,19141,1653782400,Partner,5/29/2022,Opportunity for Kim733
Insurance,Texas,United States,Qualification,Doyle59 Inc,82904,18083,1562371200,Partner,7/6/2019,Opportunity for Curry734
Communications,California,United States,Closed Lost,Benson346 Inc,85105,18095,1563408000,Partner,7/18/2019,Opportunity for Schultz736
Telecommunications,Oklahoma,United States,Perception Analysis,Summers987 Inc,23916,18732,1618444800,Partner,4/15/2021,Opportunity for Garner740
